EmployeId,Name,Gender,Age,MaritalStatus,Turnover,Travelling,Vertical,Qualifications,Education,Satisfaction,Engagement,Level,Role,Daily,Hour,Monthly,MonthlyRate,Work Experience,OverTime,SalaryHike,Last Rating,Hours,TrainingTimesLastYear,Work&Life,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrentManager,DistanceFromHome
IDSL332,Delbert,M,46,Single,No,Sometimes,Sales,4,Human Resources,1,3,5,Sales Executive,620,44,7088,4350,7,No,12,3,80,2,2,9,4,0,7,16
IDRD813,Delia,F,56,Divorced,No,Sometimes,Research & Development,3,Life Sciences,4,2,1,Laboratory Technician,895,53,2309,10025,1,No,11,3,80,3,3,10,0,0,0,4
IDSL364,Delilah,F,30,Divorced,No,Sometimes,Sales,4,Life Sciences,2,3,3,Manager,552,54,13205,9511,4,No,21,4,80,5,1,9,8,0,8,1
IDSL267,Della,F,43,Divorced,No,Sometimes,Sales,4,Marketing,3,3,2,Sales Executive,1495,78,7468,10587,8,No,12,3,80,4,3,7,2,1,7,19
IDSL187,Delores,F,28,Single,No,Sometimes,Sales,3,Life Sciences,1,3,2,Sales Executive,245,40,6335,4356,1,No,14,3,80,6,2,4,3,4,4,24
IDRD844,Deloris,F,25,Single,Yes,Sometimes,Research & Development,2,Medical,1,3,1,Laboratory Technician,808,91,3263,23035,2,No,12,3,80,2,3,2,2,2,0,2
IDRD826,Demetrius,M,30,Married,Yes,Sometimes,Research & Development,2,Life Sciences,3,2,2,Laboratory Technician,111,44,3328,13342,3,Yes,23,4,80,4,2,3,2,1,2,22
IDSL415,Dena,F,55,Married,No,Sometimes,Sales,2,Marketing,2,3,3,Sales Executive,239,72,17368,9433,7,Yes,12,3,80,3,2,3,2,11,3,1
IDRD118,Denise,F,50,Married,No,Sometimes,Research & Development,4,Medical,4,3,1,Research Scientist,419,94,3247,26277,3,No,12,3,80,5,3,7,4,6,1,12
IDRD062,Dennis,M,45,Married,No,Sometimes,Research & Development,1,Life Sciences,1,4,4,Manager,1492,51,19717,2174,4,No,20,4,80,2,3,10,9,11,1,18
IDSL087,Derek,M,37,Married,No,Sometimes,Sales,3,Marketing,4,3,2,Sales Executive,1495,48,6614,6998,4,No,13,3,80,2,3,0,0,0,0,26
IDRD318,Derrick,M,47,Single,Yes,Sometimes,Research & Development,3,Life Sciences,2,3,1,Research Scientist,519,31,2951,11303,3,No,12,3,80,4,3,0,0,0,0,2
IDSL228,Desiree,F,39,Single,No,Sometimes,Sales,3,Marketing,3,3,4,Sales Executive,297,46,9252,21528,2,No,15,3,80,2,4,1,8,0,0,20
IDSL385,Desmond,M,24,Married,No,Sometimes,Sales,4,Marketing,4,3,2,Sales Executive,1298,73,4624,17154,0,No,19,3,80,2,2,7,7,0,7,15
IDRD323,Destiny,F,36,Married,No,Sometimes,Research & Development,1,Life Sciences,2,2,4,Research Director,1057,43,19335,17610,2,No,11,3,80,2,3,7,4,7,7,8
IDRD307,Devin,M,41,Single,No,Sometimes,Research & Development,3,Medical,1,4,2,Manufacturing Director,1229,37,5207,14418,0,No,11,3,80,2,3,8,7,0,7,8
IDRD508,Devon,M,29,Divorced,No,Sometimes,Research & Development,2,Life Sciences,2,3,1,Laboratory Technician,1153,35,3799,17045,6,Yes,21,4,80,2,3,3,1,3,3,23
IDRD850,Dewey,M,28,Married,No,Mostly,Research & Development,1,Medical,4,1,2,Manufacturing Director,1161,94,4203,21448,1,No,24,4,80,2,3,3,3,0,2,10
IDRD838,Dexter,M,34,Married,No,Sometimes,Research & Development,1,Technical Degree,2,3,1,Research Scientist,1091,65,2394,5838,1,No,14,3,80,3,3,10,8,6,9,2
IDSL419,Diamond,F,51,Married,Yes,Mostly,Sales,4,Medical,3,2,4,Sales Executive,347,90,19326,13887,4,Yes,14,3,80,6,4,1,8,0,0,5
IDRD123,Diana,F,20,Single,Yes,Sometimes,Research & Development,1,Medical,4,3,1,Research Scientist,179,93,2766,18481,1,Yes,16,3,80,5,3,1,0,0,0,2
IDRD081,Diane,F,39,Married,No,Sometimes,Research & Development,2,Life Sciences,1,3,2,Healthcare Representative,1321,64,8884,8608,1,No,25,4,80,3,3,9,4,0,7,3
IDRD603,Dianna,F,22,Married,No,Mostly,Research & Development,2,Human Resources,1,3,1,Research Scientist,613,33,2937,4559,5,Yes,18,3,80,2,3,3,1,3,4,26
IDSL209,Dianne,F,34,Divorced,No,Sometimes,Sales,3,Medical,2,3,2,Sales Executive,992,98,6540,14063,6,No,11,3,80,5,3,4,4,1,3,1
IDRD953,Dick,M,55,Divorced,No,Sometimes,Research & Development,4,Life Sciences,2,3,4,Manager,1135,74,13052,22793,1,No,21,4,80,2,3,20,7,15,15,21
IDRD402,Diego,M,45,Married,No,Sometimes,Research & Development,4,Medical,2,3,3,Research Director,426,85,10456,25344,9,No,11,3,80,6,4,18,15,11,15,11
IDRD562,Dillon,M,35,Single,No,Sometimes,Research & Development,2,Life Sciences,3,3,3,Manufacturing Director,782,81,7213,13783,1,Yes,12,3,80,2,2,10,7,6,8,4
IDSL426,Dina,F,24,Married,No,Sometimes,Sales,2,Life Sciences,3,2,3,Sales Executive,1044,32,9262,12398,1,No,11,3,80,2,3,10,7,4,6,8
IDRD738,Dixie,F,25,Single,No,No,Research & Development,3,Medical,1,3,1,Research Scientist,1406,49,2613,25729,1,No,13,3,80,6,3,1,0,0,0,24
IDSL106,Dolores,F,35,Married,No,Sometimes,Sales,5,Marketing,1,2,2,Sales Executive,1165,69,6871,12577,3,No,19,3,80,3,2,6,7,0,2,1
IDSL127,Dominic,M,30,Married,No,Sometimes,Sales,2,Medical,1,4,3,Sales Executive,1344,30,6709,14313,2,Yes,14,3,80,2,3,5,4,0,2,2
IDRD567,Dominick,M,37,Divorced,Yes,Sometimes,Research & Development,4,Life Sciences,1,2,1,Laboratory Technician,150,71,4220,6542,1,Yes,12,3,80,3,3,3,2,4,4,8
IDSL298,Dominique,F,42,Divorced,No,Sometimes,Sales,3,Marketing,3,3,2,Sales Executive,1313,57,4388,12165,1,No,14,3,80,3,4,13,12,1,11,1
IDRD294,Don,M,29,Single,Yes,Sometimes,Research & Development,3,Life Sciences,3,3,1,Laboratory Technician,1384,85,2032,17103,1,No,13,3,80,0,3,0,0,0,0,6
IDSL005,Donald,M,29,Divorced,No,Mostly,Sales,5,Life Sciences,4,1,2,Sales Executive,371,32,5321,26365,1,No,18,3,80,3,3,16,11,5,9,2
IDRD041,Donna,F,25,Married,No,Sometimes,Research & Development,2,Life Sciences,3,3,3,Manufacturing Director,948,91,10729,15172,1,No,23,4,80,3,3,18,9,0,9,7
IDSL285,Donnie,M,18,Divorced,No,No,Sales,3,Medical,3,3,3,Sales Executive,1187,66,9723,11297,2,No,21,4,80,0,2,9,3,2,7,15
IDRD597,Donovan,M,31,Married,No,Sometimes,Research & Development,2,Technical Degree,3,3,1,Laboratory Technician,533,54,2227,24969,3,No,13,3,80,2,4,1,0,0,0,2
IDSL201,Dora,F,31,Married,No,Sometimes,Sales,3,Medical,3,3,2,Sales Executive,785,93,4338,11651,1,No,11,3,80,3,4,9,0,0,0,6
IDRD669,Doreen,F,27,Married,No,Sometimes,Research & Development,3,Life Sciences,1,3,1,Research Scientist,896,83,3326,13476,1,No,22,4,80,2,3,3,3,1,2,1
IDRD092,Doris,F,58,Married,No,Sometimes,Research & Development,4,Life Sciences,2,3,1,Laboratory Technician,714,86,3694,17801,0,No,18,3,80,5,3,9,3,0,2,4
IDRD855,Dorothea,F,42,Single,No,Mostly,Research & Development,4,Life Sciences,4,3,3,Manufacturing Director,1189,65,10463,17848,8,No,19,3,80,4,4,7,7,0,7,8
IDRD027,Dorothy,F,26,Married,No,Sometimes,Research & Development,1,Medical,2,3,1,Research Scientist,1158,39,2674,17722,1,No,11,3,80,3,3,2,2,2,2,1
IDRD071,Douglas,M,36,Married,No,Sometimes,Research & Development,2,Life Sciences,1,2,2,Laboratory Technician,1338,83,5863,22891,3,No,12,3,80,2,2,4,2,1,2,5
IDRD934,Doyle,M,30,Married,No,Sometimes,Research & Development,2,Medical,4,1,2,Laboratory Technician,990,75,5724,16250,1,No,17,3,80,4,3,10,7,0,9,7
IDRD847,Drake,M,26,Married,No,Sometimes,Research & Development,3,Life Sciences,3,4,2,Laboratory Technician,1226,69,5577,16995,3,No,21,4,80,1,2,9,2,1,0,14
IDSL242,Drew,M,40,Married,No,Sometimes,Sales,5,Marketing,4,2,4,Sales Executive,1092,90,17950,5999,0,No,11,3,80,4,2,10,8,12,9,1
IDRD381,Duane,M,23,Married,No,Mostly,Research & Development,2,Medical,3,3,1,Research Scientist,796,37,2234,3374,1,No,11,3,80,3,3,1,0,0,0,5
IDSL097,Dustin,M,28,Married,No,No,Sales,2,Marketing,1,3,3,Sales Executive,109,47,9833,25897,1,Yes,17,3,80,2,3,4,3,1,4,13
IDRD493,Dwayne,M,33,Single,No,Sometimes,Research & Development,1,Medical,4,4,1,Research Scientist,200,71,3633,16959,6,No,12,3,80,0,3,2,2,2,2,4
IDRD494,Dwight,M,41,Single,No,Sometimes,Research & Development,4,Technical Degree,3,1,5,Manufacturing Director,1409,100,17454,9851,1,Yes,16,3,80,2,3,24,11,14,7,2
IDRD117,Dylan,M,48,Single,No,Sometimes,Research & Development,3,Technical Degree,3,3,1,Research Scientist,911,84,3062,4720,1,No,12,3,80,4,2,5,2,1,3,1
IDRD169,Earl,M,40,Married,No,Mostly,Research & Development,3,Life Sciences,1,3,1,Laboratory Technician,235,79,1914,17928,1,No,13,3,80,3,4,10,0,1,5,26
IDSL294,Earnest,M,31,Married,No,No,Sales,4,Life Sciences,1,4,2,Sales Executive,1145,91,4907,22109,0,No,12,3,80,0,3,9,7,0,7,20
IDRD657,Easton,M,34,Divorced,No,Sometimes,Research & Development,3,Life Sciences,3,2,2,Healthcare Representative,851,69,5009,2489,2,No,11,3,80,6,3,4,3,0,7,6
IDSL352,Ebony,F,33,Married,No,Sometimes,Sales,4,Life Sciences,1,3,2,Sales Executive,109,98,6213,18045,1,Yes,11,3,80,3,3,11,9,8,7,28
IDRD238,Eddie,M,28,Divorced,No,Sometimes,Research & Development,3,Life Sciences,4,3,1,Research Scientist,1269,92,2979,10430,1,Yes,13,3,80,2,4,1,0,0,0,2
IDSL402,Eden,F,40,Married,No,Sometimes,Sales,2,Marketing,2,2,2,Sales Executive,1374,57,7707,24165,1,Yes,22,4,80,1,2,10,9,6,8,5
IDRD313,Edgar,M,19,Single,No,Sometimes,Research & Development,3,Life Sciences,3,3,1,Laboratory Technician,770,50,2666,16877,1,No,12,3,80,2,3,8,4,0,7,6
IDRD192,Edith,F,35,Divorced,Yes,Sometimes,Research & Development,2,Medical,1,3,1,Laboratory Technician,549,53,1661,26897,1,No,17,3,80,0,3,1,0,0,0,7
IDRD658,Edmund,M,42,Married,No,Sometimes,Research & Development,4,Medical,2,3,3,Manufacturing Director,201,43,3950,26862,8,No,12,3,80,5,3,4,2,4,2,8
IDRD162,Edna,F,35,Married,No,Sometimes,Research & Development,3,Medical,3,3,1,Laboratory Technician,287,40,3386,23964,1,No,12,3,80,3,1,2,2,2,2,23
IDSL204,Eduardo,M,46,Married,No,Mostly,Sales,4,Marketing,3,3,2,Sales Executive,1018,81,5494,13494,4,No,20,4,80,2,3,4,2,0,2,26
IDSL008,Edward,M,36,Single,Yes,Sometimes,Sales,3,Life Sciences,3,4,3,Healthcare Representative,109,73,13411,21758,0,No,14,3,80,5,3,14,4,0,7,3
IDRD211,Edwin,M,53,Single,No,No,Research & Development,4,Medical,3,3,3,Manager,458,92,17631,26724,1,Yes,15,3,80,3,4,20,9,6,8,16
IDSL348,Effie,F,37,Married,No,No,Sales,4,Life Sciences,3,2,5,Sales Executive,144,33,11521,13353,0,No,22,4,80,2,3,19,17,5,8,1
IDRD260,Eileen,F,47,Married,No,Sometimes,Research & Development,5,Life Sciences,1,4,4,Manager,843,66,17142,2137,3,Yes,13,3,80,3,2,3,2,0,2,2
IDRD195,Elaine,F,29,Married,No,Mostly,Research & Development,1,Medical,1,4,1,Laboratory Technician,327,83,3513,8895,0,No,13,3,80,2,3,1,0,0,0,22
IDRD874,Elbert,M,45,Married,No,Mostly,Research & Development,4,Medical,1,3,1,Research Scientist,360,64,3395,21373,9,No,23,4,80,3,3,0,0,0,0,29
IDRD166,Eleanor,F,35,Single,Yes,Sometimes,Research & Development,2,Life Sciences,4,2,1,Laboratory Technician,623,58,2414,23197,1,No,21,4,80,2,3,4,3,1,2,8
IDSL244,Elena,F,39,Married,No,Sometimes,Sales,4,Marketing,1,3,2,Sales Representative,693,77,6273,15762,7,No,15,3,80,3,3,10,7,0,8,2
IDRD370,Eli,M,28,Single,No,No,Research & Development,4,Medical,4,3,1,Laboratory Technician,351,65,2488,11226,1,No,22,4,80,2,3,1,0,1,0,2
IDRD778,Eliana,F,52,Single,No,No,Research & Development,3,Medical,3,3,4,Healthcare Representative,1156,71,9206,13218,2,No,19,3,80,5,3,8,7,7,7,2
IDRD481,Elias,M,45,Divorced,No,Sometimes,Research & Development,3,Life Sciences,3,3,2,Healthcare Representative,1058,67,2818,9024,3,No,16,3,80,3,3,2,1,0,2,20
IDRD159,Elijah,M,40,Divorced,No,No,Research & Development,4,Life Sciences,3,3,1,Research Scientist,780,86,2119,2137,1,Yes,19,3,80,2,3,5,0,1,3,5
IDRD728,Elisa,F,46,Divorced,No,Sometimes,Research & Development,4,Medical,3,4,2,Manufacturing Director,1174,46,5220,7577,4,No,12,3,80,2,2,17,8,6,7,20
IDRD691,Elisabeth,F,45,Single,No,No,Research & Development,4,Life Sciences,3,4,2,Laboratory Technician,808,93,4993,8647,4,No,16,3,80,4,4,3,2,1,2,6
IDRD533,Elise,F,39,Divorced,No,Mostly,Research & Development,2,Medical,1,3,2,Human Resources,844,84,4624,22950,9,No,12,3,80,5,3,1,7,1,0,3
IDRD615,Eliza,F,45,Single,No,Sometimes,Research & Development,1,Medical,4,1,2,Research Scientist,366,44,4672,2137,0,No,14,3,80,2,3,5,4,0,2,24
IDSL004,Elizabeth,F,44,Single,No,Mostly,Sales,3,Technical Degree,2,3,1,Sales Representative,656,32,3691,25202,2,No,12,3,80,2,2,2,2,2,2,10
IDHR010,Ella,F,42,Divorced,No,Sometimes,Human Resources,3,Life Sciences,4,3,2,Sales Executive,1342,69,4145,23993,8,No,14,3,80,3,2,3,0,1,2,10
IDRD184,Ellen,F,27,Single,Yes,Sometimes,Research & Development,1,Medical,1,3,1,Laboratory Technician,282,95,2103,12939,1,No,12,3,80,0,3,1,0,0,0,6
IDSL271,Ellie,F,39,Single,No,Sometimes,Sales,2,Medical,4,3,2,Sales Executive,443,57,4439,10793,2,Yes,15,3,80,2,4,1,0,0,0,18
IDSL342,Elliot,M,25,Single,Yes,No,Sales,2,Life Sciences,4,3,1,Sales Representative,954,70,2268,17818,1,No,11,3,80,3,3,9,0,2,1,5
IDRD692,Elliott,M,46,Divorced,No,Sometimes,Research & Development,4,Other,1,3,2,Laboratory Technician,549,99,5700,23018,1,No,13,3,80,4,3,10,6,0,9,7
IDRD747,Ellis,M,37,Single,No,No,Research & Development,2,Life Sciences,3,4,1,Research Scientist,306,35,2041,3080,8,No,16,3,80,3,3,1,0,0,0,24
IDRD361,Elmer,M,30,Divorced,No,Sometimes,Research & Development,4,Life Sciences,2,3,1,Laboratory Technician,1282,50,3814,7947,1,No,18,3,80,5,2,5,3,0,3,1
IDSL308,Eloise,F,31,Married,Yes,Sometimes,Sales,3,Marketing,3,2,1,Sales Representative,1373,31,1311,21235,1,No,13,3,80,2,2,1,0,0,0,23
IDRD946,Elsa,F,24,Divorced,No,Sometimes,Research & Development,1,Human Resources,3,1,1,Research Scientist,877,34,3996,26862,1,No,12,3,80,4,2,3,2,0,2,8
IDSL123,Elsie,F,39,Married,No,Mostly,Sales,2,Technical Degree,4,3,3,Sales Executive,1259,84,1200,6539,1,No,13,3,80,2,4,10,17,15,7,8
IDRD906,Elva,F,19,Divorced,No,Sometimes,Research & Development,1,Life Sciences,3,3,1,Laboratory Technician,134,35,3979,18225,1,No,12,3,80,5,3,7,7,0,7,3
IDRD664,Emanuel,M,32,Single,No,Sometimes,Research & Development,4,Life Sciences,4,3,1,Research Scientist,713,100,2352,9721,1,No,11,3,80,2,2,7,7,4,7,7
IDRD896,Emil,M,29,Married,No,Sometimes,Research & Development,3,Life Sciences,4,3,1,Research Scientist,297,71,3510,6432,1,Yes,13,3,80,3,2,4,2,1,2,23
IDSL383,Emilia,F,38,Single,Yes,Mostly,Sales,3,Life Sciences,3,4,1,Laboratory Technician,364,47,1449,6972,7,No,25,4,80,2,3,1,0,0,0,4
IDRD759,Emilio,M,31,Married,No,Sometimes,Research & Development,2,Life Sciences,4,3,2,Manufacturing Director,174,57,4211,6333,4,Yes,15,3,80,5,3,1,0,0,3,18
IDRD039,Emily,F,29,Married,Yes,Sometimes,Research & Development,1,Technical Degree,1,1,1,Laboratory Technician,700,45,2514,2125,1,No,22,4,80,6,3,1,0,0,0,10
IDSL025,Emma,F,42,Married,No,Mostly,Sales,4,Life Sciences,2,4,3,Manager,1047,81,19567,2125,3,Yes,14,3,80,3,3,8,7,7,14,15
IDRD501,Emmanuel,M,41,Single,No,Sometimes,Research & Development,4,Life Sciences,3,3,1,Laboratory Technician,1109,58,2173,2731,1,No,21,4,80,3,3,4,2,0,2,8
IDRD606,Emmett,M,38,Married,No,Sometimes,Research & Development,3,Life Sciences,3,3,2,Healthcare Representative,774,66,9144,12104,0,No,13,3,80,2,3,7,0,0,7,24
IDRD594,Enrique,M,39,Single,No,Sometimes,Research & Development,4,Other,2,3,3,Manager,628,38,17584,21354,9,No,13,3,80,2,3,5,0,0,0,29
IDSL012,Eric,M,44,Married,No,Sometimes,Sales,4,Marketing,2,3,2,Sales Executive,237,76,4691,3203,4,No,11,3,80,5,3,3,2,1,2,9
IDSL088,Erica,F,36,Divorced,No,Sometimes,Sales,2,Medical,4,3,2,Sales Executive,810,63,6244,19980,0,No,17,3,80,4,3,4,3,0,2,20
IDRD517,Erick,M,29,Divorced,No,Mostly,Research & Development,1,Medical,3,3,1,Laboratory Technician,1343,76,2609,8132,1,No,14,3,80,3,2,5,2,0,2,2
IDRD300,Erik,M,22,Single,Yes,Sometimes,Research & Development,3,Human Resources,2,4,1,Laboratory Technician,107,57,2300,15176,1,No,16,3,80,3,3,2,2,1,3,4
IDSL167,Erika,F,51,Single,No,Mostly,Sales,5,Medical,1,3,4,Manager,1348,46,13266,7532,1,No,11,3,80,3,4,21,17,14,8,10
IDRD137,Erin,F,52,Married,No,Mostly,Research & Development,3,Technical Degree,4,2,4,Healthcare Representative,1228,68,13741,9078,2,No,11,3,80,3,3,20,9,14,10,8
IDRD622,Erma,F,35,Married,No,Sometimes,Research & Development,3,Other,4,3,2,Research Director,917,31,6932,21551,1,No,15,3,80,3,3,20,7,6,7,12
IDSL068,Ernest,M,31,Single,No,Sometimes,Sales,3,Marketing,4,3,2,Sales Executive,593,91,4503,14568,1,No,18,3,80,2,3,3,4,7,2,10
IDSL345,Ernestine,F,28,Married,Yes,Sometimes,Sales,2,Marketing,1,3,2,Sales Executive,170,90,6337,14079,1,No,12,3,80,2,3,5,4,0,0,9
IDSL346,Ernesto,M,33,Single,No,Sometimes,Sales,3,Life Sciences,1,3,3,Sales Executive,1442,96,8242,2125,2,Yes,14,3,80,3,3,0,0,0,0,14
IDRD793,Ervin,M,47,Divorced,No,Mostly,Research & Development,2,Other,3,2,2,Healthcare Representative,109,57,6337,26897,5,Yes,12,3,80,3,2,7,7,0,7,20
IDSL333,Esmeralda,F,34,Divorced,No,Mostly,Sales,4,Life Sciences,1,3,3,Sales Executive,111,92,18844,9018,1,Yes,15,3,80,2,3,10,17,2,14,6
IDRD783,Essie,F,36,Single,Yes,Sometimes,Research & Development,2,Life Sciences,3,2,3,Manufacturing Director,481,48,7800,22137,4,No,15,3,80,2,3,10,7,0,8,6
IDRD907,Esteban,M,47,Married,No,Sometimes,Research & Development,5,Medical,1,3,1,Research Scientist,1126,76,2940,6966,0,No,17,3,80,0,4,2,2,2,2,2
IDRD779,Estella,F,36,Single,No,Mostly,Research & Development,3,Life Sciences,3,3,1,Laboratory Technician,585,52,1823,16619,1,No,12,3,80,5,4,3,2,1,2,2
IDSL306,Estelle,F,28,Single,No,Sometimes,Sales,3,Marketing,3,3,1,Sales Representative,137,90,4451,21318,0,No,11,3,80,2,4,4,2,1,2,6
IDRD198,Esther,F,19,Married,No,Sometimes,Research & Development,3,Life Sciences,3,4,1,Laboratory Technician,424,92,3106,13507,3,Yes,17,3,80,2,3,2,2,2,2,16
IDRD104,Ethan,M,44,Divorced,No,Sometimes,Research & Development,2,Medical,3,3,4,Research Director,469,75,18412,16275,9,No,21,4,80,6,2,10,8,5,7,29
IDRD181,Ethel,F,36,Divorced,No,Sometimes,Research & Development,4,Medical,3,3,2,Healthcare Representative,787,35,5575,26933,1,No,12,3,80,3,2,5,3,1,2,2
IDSL360,Etta,F,48,Single,No,Sometimes,Sales,3,Life Sciences,2,2,4,Manager,682,86,19478,6528,7,No,12,3,80,1,3,20,0,10,4,3
IDRD120,Eugene,M,28,Married,No,Sometimes,Research & Development,3,Life Sciences,1,2,2,Manufacturing Director,385,78,4244,17628,5,No,14,3,80,1,2,1,0,0,0,3
IDRD942,Eugenia,F,33,Married,No,Mostly,Research & Development,3,Life Sciences,1,3,2,Healthcare Representative,1023,85,9518,3956,1,No,20,4,80,2,3,7,7,0,3,5
IDRD702,Eula,F,33,Married,No,No,Research & Development,3,Technical Degree,3,3,3,Manufacturing Director,398,75,13731,15966,1,No,21,3,80,3,2,19,7,2,8,1
IDSL245,Eunice,F,20,Married,No,Sometimes,Sales,2,Life Sciences,3,2,1,Sales Representative,138,98,3664,19436,1,No,11,3,80,0,3,6,3,0,3,2
IDRD190,Eva,F,26,Single,Yes,Mostly,Research & Development,3,Medical,4,3,1,Research Scientist,641,34,4501,26638,1,No,13,3,80,5,3,5,4,1,2,10
IDRD177,Evan,M,40,Married,No,No,Research & Development,2,Medical,2,4,2,Healthcare Representative,942,94,5620,10019,2,No,19,3,80,2,2,7,1,7,0,2
IDRD073,Evelyn,F,31,Single,No,Sometimes,Research & Development,2,Medical,2,2,1,Research Scientist,682,83,4593,18231,1,No,11,3,80,3,3,0,7,0,3,23
IDRD400,Everett,M,27,Single,No,Sometimes,Research & Development,3,Life Sciences,3,3,1,Research Scientist,1157,70,3205,4850,1,No,13,3,80,1,2,9,7,0,0,15
IDRD716,Ezekiel,M,33,Divorced,No,Sometimes,Research & Development,3,Life Sciences,4,3,1,Research Scientist,923,66,3241,9628,5,Yes,11,3,80,2,4,9,2,0,2,28
IDRD640,Ezra,M,25,Married,No,No,Research & Development,1,Medical,4,2,1,Research Scientist,1159,69,3192,5491,2,No,13,3,80,2,1,3,2,1,2,2
IDRD769,Fabian,M,29,Divorced,No,Mostly,Research & Development,3,Medical,1,3,1,Laboratory Technician,350,97,2901,11721,4,No,11,3,80,0,2,7,2,1,1,21
IDSL160,Faith,F,36,Married,No,Sometimes,Sales,4,Marketing,3,2,2,Sales Executive,867,39,5229,24552,8,No,17,3,80,4,1,10,7,5,7,26
IDRD472,Fannie,F,30,Divorced,No,Sometimes,Research & Development,1,Medical,1,4,1,Research Scientist,1299,85,3326,7563,7,No,19,3,80,2,2,5,2,1,2,1
IDRD877,Fatima,F,47,Married,No,Sometimes,Research & Development,4,Technical Degree,4,2,5,Manager,1262,56,17410,2243,3,No,11,3,80,2,3,4,2,0,4,1
IDRD891,Fay,F,32,Divorced,No,Sometimes,Research & Development,2,Other,3,3,2,Laboratory Technician,382,86,4782,19298,4,Yes,15,3,80,3,1,6,3,1,7,13
IDSL263,Faye,F,41,Single,No,Mostly,Sales,3,Life Sciences,3,3,2,Sales Executive,776,50,9234,12663,4,No,16,3,80,1,3,7,7,0,7,7
IDSL217,Felicia,F,21,Single,No,Sometimes,Sales,1,Medical,3,1,3,Sales Executive,879,40,8428,25074,1,Yes,11,3,80,3,2,10,5,0,9,5
IDRD921,Felipe,M,58,Single,No,Mostly,Research & Development,2,Medical,3,2,2,Laboratory Technician,1174,74,4907,23586,3,Yes,16,3,80,2,3,7,2,0,7,20
IDRD520,Felix,M,37,Divorced,No,Sometimes,Research & Development,4,Life Sciences,2,1,2,Manufacturing Director,1307,52,6016,16662,1,No,11,3,80,3,3,10,8,3,9,29
IDRD810,Fern,F,34,Divorced,No,Sometimes,Research & Development,4,Medical,4,3,1,Research Scientist,461,82,3219,10675,3,No,12,3,80,4,3,5,2,1,2,5
IDSL215,Fernando,M,48,Single,No,Sometimes,Sales,2,Marketing,4,3,2,Sales Representative,230,78,4999,10298,0,No,25,4,80,2,3,3,2,2,2,1
IDSL424,Fiona,F,18,Single,Yes,Sometimes,Sales,2,Technical Degree,1,2,1,Sales Representative,575,32,2190,5297,1,No,13,3,80,6,3,1,0,0,0,2
IDRD544,Flora,F,31,Single,No,Sometimes,Research & Development,3,Medical,3,3,1,Research Scientist,460,58,2071,4182,1,No,23,4,80,6,3,1,0,0,0,4
IDRD141,Florence,F,36,Single,Yes,Sometimes,Research & Development,5,Life Sciences,3,4,1,Research Scientist,1134,51,3631,6335,1,Yes,21,4,80,3,3,10,0,10,7,25
IDSL148,Floyd,M,42,Single,Yes,Sometimes,Sales,2,Marketing,2,3,3,Sales Executive,443,56,15411,9455,6,No,13,3,80,2,3,15,1,0,7,21
IDRD678,Forrest,M,49,Married,No,Sometimes,Research & Development,3,Other,3,4,1,Research Scientist,422,76,2886,16242,1,No,14,3,80,5,2,5,3,1,2,5
IDHR005,Frances,F,27,Single,Yes,Sometimes,Human Resources,3,Human Resources,4,4,1,Human Resources,1425,44,1118,13723,0,No,11,3,80,2,3,0,0,1,0,19
IDSL428,Francesca,F,30,Married,Yes,Sometimes,Sales,4,Life Sciences,1,4,2,Sales Executive,564,92,7906,16747,9,Yes,15,3,80,5,3,5,3,1,0,2
IDSL393,Francine,F,28,Single,Yes,No,Sales,3,Life Sciences,2,1,3,Sales Executive,1424,44,17063,21873,1,No,18,3,80,5,3,3,8,1,2,5
IDRD170,Francis,M,35,Married,No,Sometimes,Research & Development,4,Life Sciences,4,3,4,Manager,176,76,17673,9454,9,Yes,18,3,80,2,3,7,4,0,7,28
IDRD944,Francis,F,47,Divorced,No,Sometimes,Research & Development,2,Life Sciences,4,2,2,Manufacturing Director,366,33,4113,26876,4,No,15,3,80,2,3,3,2,1,4,1
IDSL163,Francisco,M,29,Single,No,Sometimes,Sales,3,Life Sciences,3,2,1,Sales Representative,1068,70,2760,9585,2,No,21,4,80,2,1,3,1,0,2,2
IDSL013,Frank,M,35,Married,No,Sometimes,Sales,2,Marketing,4,3,3,Sales Executive,400,40,9280,22013,4,No,25,4,80,3,3,0,0,0,0,19
IDSL359,Frankie,M,50,Married,No,Mostly,Sales,2,Life Sciences,4,3,2,Sales Executive,1495,56,6303,2227,1,No,13,3,80,3,3,10,6,9,7,27
IDSL410,Frankie,F,50,Single,No,Sometimes,Sales,4,Medical,4,3,4,Manager,1068,92,19439,4759,3,No,14,3,80,5,1,3,2,0,2,4
IDSL162,Franklin,M,18,Married,No,Sometimes,Sales,2,Technical Degree,3,3,1,Sales Executive,463,66,4749,8312,2,No,17,3,80,3,2,7,0,0,7,2
IDRD138,Fred,M,37,Married,No,Sometimes,Research & Development,3,Other,4,3,2,Manager,1462,76,11865,13270,0,Yes,24,4,80,2,3,8,7,0,7,1
IDSL354,Freda,F,44,Divorced,No,No,Sales,2,Medical,2,2,2,Sales Executive,231,70,4456,13387,0,No,21,4,80,0,3,4,4,0,2,2
